showDate	HolidayStatus	venue name	venue city	venue state	venue country	venue capacity
4/20/2024	0	The Venetian Theatre At The Venetian Resort	Las Vegas	NV	United States	4500
8/31/2024	2	Margaritaville Resort Casino	Bossier City	LA	United States	800
9/12/2024	0	Templeton-Blackburn Alumni Memorial Auditorium	Athens	OH	United States	1365
9/13/2024	0	Tippecanoe County Amphitheatre Park	West Lafayette	IN	United States	5000
9/14/2024	0	Savannah Riverfest	Savannah	GA	United States	5000
9/20/2024	0	7 Clans First Council Casino	Newkirk	OK	United States	3000
9/22/2024	0	Cain'S Ballroom	Tulsa	OK	United States	1800
9/28/2024	0	Petersen Event Center	Pittsburgh	PA	United States	6000
10/4/2024	0	The Amp At Log Still	New Haven	KY	United States	15000
10/24/2024	0	House Of Blues	Orlando	FL	United States	2500
11/15/2024	0	The Intersection	Grand Rapids	MI	United States	1000
11/16/2024	0	North Star Mohican Casino Resort	Bowler	WI	United States	2500
11/22/2024	0	The Fillmore	Detroit	MI	United States	1426
11/23/2024	0	Templelive Cleveland	Cleveland	OH	United States	2500
12/5/2024	0	Blue Gate Performing Arts Center	Shipshewana	IN	United States	1500
2/8/2024	0	Agua Caliente Casino Resort Spa	Rancho Mirage	CA	United States	21500
2/9/2024	0	Thunder Valley Casino	Lincoln	CA	United States	4200
3/2/2024	0	Belly Up	Aspen	CO	United States	1800
5/3/2024	0	Sunfest	West Palm Beach	FL	United States	10000
5/5/2024	0	Shaky Knees	Atlanta	GA	United States	9000
5/10/2024	0	Pepsi Amphitheater	Flagstaff	AZ	United States	6700
5/11/2024	0	Ava Amphitheatre - Casino Del Sol	Tucson	AZ	United States	4400
5/14/2024	0	Hard Rock Casino & Hotel	Catoosa	OK	United States	3500
5/16/2024	0	Pinewood Bowl	Lincoln	NE	United States	5500
5/19/2024	0	Hard Rock Casino Northern Indiana	Gary	IN	United States	3000
8/9/2024	0	The Abbey	Orlando	FL	United States	500
8/11/2024	0	The Underground At Fillmore Charlotte	Charlotte	NC	United States	1000
8/13/2024	0	The Atlantis	Washington	DC	United States	15000
8/14/2024	0	The Gramercy Theatre	New York City	NY	United States	650
8/18/2024	0	Brighton Music Hall	Boston	MA	United States	400
8/23/2024	0	House Of Blues Cleveland - Cambridge Room	Cleveland	OH	United States	218
8/25/2024	0	Thalia Hall	Chicago	IL	United States	808
8/27/2024	0	The Hi-Fi	Indianapolis	IN	United States	600
8/28/2024	0	The Basement East	Nashville	TN	United States	600
9/19/2024	0	Mountain Health Arena	Huntington	WV	United States	7500
9/26/2024	0	Ljvm Coliseum	Winston-Salem	NC	United States	17000
10/10/2024	0	Rasing Cane'S Center Arena	Baton Rouge	LA	United States	10400
10/12/2024	2	The Sound Amphitheatre	Gautier	MS	United States	6000
10/18/2024	0	Mckenzie Arena	Chattanooga	TN	United States	10000
10/19/2024	0	Atrium Health Amphitheater	Macon	GA	United States	10000
8/26/2024	0	Hollywood Forever	Hollywood	CA	United States	1000
9/10/2024	0	Rialto Theatre	Tucson	AZ	United States	1200
9/11/2024	0	Smith Center	Las Vegas	NV	United States	2800
9/15/2024	0	Orpheum Theatre	Los Angeles	CA	United States	1364
9/16/2024	0	The Magnolia Theatre	El Cajon	CA	United States	1200
9/17/2024	0	Granada Theatre	Santa Barbara	CA	United States	1550
9/18/2024	0	Visalia Fox Theatre	Visalia	CA	United States	2000
9/24/2024	0	Moore Theater	Seattle	WA	United States	1800
9/25/2024	0	"Craterian Theater, The Collier Center"	Medford	OR	United States	732
9/30/2024	0	Pikes Peak Center	Colorado Springs	CO	United States	2012
10/2/2024	0	Kauffman Center For The Performing Arts	Kansas City	MO	United States	1800
10/6/2024	0	Detroit Music Hall	Detroit	MI	United States	1701
10/14/2024	1	James K. Polk Theatre-Tpac	Nashville	TN	United States	1600
10/23/2024	0	Saenger Theatre	Pensacola	FL	United States	4397
10/25/2024	0	Spartanburg Memorial Auditorium	Spartanburg	SC	United States	2600
10/26/2024	0	The Carolina Theatre	Durham	NC	United States	2100
10/27/2024	0	Midland Theatre	Newark	OH	United States	3200
10/29/2024	0	The Palace Theatre	Greensburg	PA	United States	2800
10/30/2024	0	Community Arts Center	Williamsport	PA	United States	1000
11/1/2024	0	Scottish Rite Auditorium	Collingswood	NJ	United States	2600
11/3/2024	0	H. Ric Luhrs Performing Arts Center	Shippensburg	PA	United States	1000
11/4/2024	0	Forum Theatre	Binghamton	NY	United States	1525
11/5/2024	0	The Paramount Theatre	Rutland	VT	United States	4400
11/7/2024	0	Foxwoods Resort Casino	Mashantucket	CT	United States	4000
11/8/2024	2	Plymouth Memorial Hall	Plymouth	MA	United States	1450
11/9/2024	2	Lowell Memorial Auditorium	Lowell	MA	United States	2800
11/10/2024	2	Capitol Center For The Arts	Concord	NH	United States	1304
2/22/2024	0	Ã Tennessee Performing Arts Center Andrew Jackson Hall	Nashville	TN	United States	2400
2/23/2024	0	Thalia Mara Hall	Jackson	MS	United States	2040
2/24/2024	0	Raising Cane'S River Center Theatre	Baton Rouge	LA	United States	3100
2/25/2024	0	Montgomery Pac	Montgomery	AL	United States	978
2/27/2024	0	"Saenger Theatre, Pensacola Fl"	Pensacola	FL	United States	2800
2/28/2024	0	Jacksonville Center For The Performing Arts	Jacksonville	FL	United States	1600
2/29/2024	0	Van Wezel Performing Arts Hall	Sarasota	FL	United States	1741
3/1/2024	0	Parker Theatre	Fort Lauderdale	FL	United States	1500
3/3/2024	0	Maxwell C. King Center For The Performing Arts	Melbourne	FL	United States	2000
3/5/2024	0	Barbara B Mann Performing Arts Hall	Fort Myers	FL	United States	1874
3/7/2024	0	The Classic Center	Athens	GA	United States	8300
3/8/2024	0	The Fox Theatre	Atlanta	GA	United States	4500
3/9/2024	0	Durham Performing Arts Center	Durham	NC	United States	2712
3/10/2024	0	Johnny Mercer Theatre	Savannah	GA	United States	5085
3/12/2024	0	Steven Tanger Center For Performing Arts	Greensboro	NC	United States	3200
3/13/2024	0	Ovens Auditorium	Charlotte	NC	United States	2460
3/14/2024	0	Altria Theater	Richmond	VA	United States	3565
3/15/2024	0	Mayo Performing Arts Center	Morristown	NJ	United States	2100
3/16/2024	0	State Theatre	New Brunswick	NJ	United States	1870
3/17/2024	0	Hippodrome Theatre	Baltimore	MD	United States	2300
3/19/2024	0	Sandler Center For The Performing Arts	Virginia Beach	VA	United States	2200
3/20/2024	0	Palace Theatre	Albany	NY	United States	4692
3/21/2024	0	Chevalier Theatre	Medford	MA	United States	1900
3/22/2024	0	Chubb Theatre At Capitol Center For The Arts	Concord	NH	United States	1304
3/23/2024	0	Mohegan Sun Arena	Uncasville	CT	United States	10000
3/24/2024	0	Eisenhower Hall	West Point	NY	United States	4324
3/26/2024	0	The Maryland Theatre	Hagerstown	MD	United States	1600
3/27/2024	0	Wharton Center For Performing Arts	East Lansing	MI	United States	3500
3/28/2024	0	Playhouse Square - Keybank State Theatre	Cleveland	OH	United States	4000
3/29/2024	0	American Music Theatre	Lancaster	PA	United States	1607
3/30/2024	0	American Music Theatre	Lancaster	PA	United States	1607
4/2/2024	0	"Capitol Theatre 1015 Main St Wheeling, Wv 26003"	Wheeling	WV	United States	2315
4/3/2024	0	Oncenter Crouse Hinds Theater	Syracuse	NY	United States	2600
4/4/2024	0	West Herr Auditorium	Rochester	NY	United States	3000
4/6/2024	0	Fisher Theatre	Detroit	MI	United States	2089
4/7/2024	0	Rosemont Theatre	Rosemont	IL	United States	4400
4/9/2024	0	Devos Performance Hall	Grand Rapids	MI	United States	2543
4/10/2024	0	Veterans Memorial Civic Center	Lima	OH	United States	3500
4/11/2024	0	Honeywell Center	Wabash	IN	United States	2200
4/14/2024	0	The Riverside Theater	Milwaukee	WI	United States	2500
4/16/2024	0	State Theatre	Minneapolis	MN	United States	1870
4/18/2024	0	The Louisville Palace Theater	Louisville	KY	United States	2500
4/21/2024	0	Juanita K. Hammons Hall For The Performing Arts	Springfield	MO	United States	1800
4/23/2024	0	Mark C. Smith Concert Hall	Huntsville	AL	United States	4293
4/24/2024	0	Bjcc Concert Hall	Birmingham	AL	United States	2835
4/25/2024	0	The Orpheum Theatre	Memphis	TN	United States	4173
4/26/2024	0	Beau Rivage Theatre	Biloxi	MS	United States	1595
4/27/2024	0	Beau Rivage Theatre	Biloxi	MS	United States	1595
4/29/2024	0	Houston Smart Financial Centre	Houston	TX	United States	3000
4/30/2024	0	Rose State College	Oklahoma City	OK	United States	2800
5/1/2024	0	Texas Trust Cu Theatre	Grand Prairie	TX	United States	5000
5/2/2024	0	Majestic Theatre	San Antonio	TX	United States	1704
5/4/2024	0	Plaza Theater	El Paso	TX	United States	700
5/7/2024	0	Orpheum Theatre	Phoenix	AZ	United States	1364
5/8/2024	0	Findlay Toyota Center	Prescott Valley	AZ	United States	6200
5/9/2024	0	San Diego Civic Theatre	San Diego	CA	United States	4889
5/12/2024	0	Hult Center For The Performing Arts	Eugene	OR	United States	2400
5/15/2024	0	Paramount Theatre	Seattle	WA	United States	3040
5/17/2024	0	Silver Legacy Resort Casino Reno	Reno	NV	United States	1700
5/18/2024	0	Chumash Casino Resort	Santa Ynez	CA	United States	1400
5/21/2024	0	The Smith Center For The Performing Arts - Reynolds Hall	Las Vegas	NV	United States	2800
5/23/2024	0	Eccles Theater	Salt Lake City	UT	United States	2468
5/24/2024	2	The Avalon Theatre	Grand Junction	CO	United States	1100
5/25/2024	2	Pikes Peak Center	Colorado Springs	CO	United States	2012
5/26/2024	2	Paramount Theatre	Denver	CO	United States	3040
11/29/2024	0	Yaamava' Theater	Highland	CA	United States	4700
11/30/2024	0	Thunder Valley Casino	Lincoln	CA	United States	4200
12/3/2024	0	Abravanel Hall	Salt Lake City	UT	United States	2768
12/7/2024	0	Miller Auditorium	Kalamazoo	MI	United States	3497
12/8/2024	0	Stifel Theatre	St. Louis	MO	United States	3100
12/13/2024	0	Kennedy Center Concert Hall	Washington	DC	United States	7012
12/15/2024	0	The Wellmont Theater	Montclair	NJ	United States	2600
12/17/2024	0	The Playhouse On Rodney Square	Wilmington	DE	United States	1176
12/18/2024	0	Lowell Memorial Auditorium	Lowell	MA	United States	2800
12/19/2024	0	Paramount Theatre	Huntington	NY	United States	3040
12/21/2024	0	Atlanta Symphony Orchestra	Atlanta	GA	United States	1762
3/4/2024	0	Honda Center	Anaheim	CA	United States	19578
3/11/2024	0	Paycom Arena	Oklahoma City	OK	United States	17500
3/31/2024	0	Bridgestone Arena	Nashville	TN	United States	20000
4/5/2024	0	Chi Health Center	Omaha	NE	United States	18975
11/19/2024	0	Downtown Nashville	Nashville	TN	United States	6800
11/20/2024	0	Bridgestone Arena	Nashville	TN	United States	20000
11/6/2024	0	Amalie Arena	Tampa	FL	United States	21500
11/12/2024	0	American Airlines Center	Dallas	TX	United States	20000
11/14/2024	0	Moody Center	Austin	TX	United States	15000
11/24/2024	0	Acrisure Arena	Thousand Palms	CA	United States	11007
11/26/2024	0	Chase Center	San Francisco	CA	United States	18064
12/1/2024	0	Climate Pledge Arena	Seattle	WA	United States	17459
12/4/2024	0	Target Center	Minneapolis	MN	United States	20500
10/16/2024	0	The Fillmore Denver	Denver	CO	United States	6764
10/22/2024	0	Arizona Financial Theatre	Phoenix	AZ	United States	5000
1/13/2024	2	Honda Center	Anaheim	CA	United States	19578
8/6/2024	0	The Greek Theatre La	Los Angeles	CA	United States	5900
8/20/2024	0	The Anthem	Washington	DC	United States	6000
8/21/2024	0	Summerstage (Central Park)	New York City	NY	United States	5000
9/1/2024	2	The Fillmore Detroit	Detroit	MI	United States	2200
6/21/2024	0	Bmo Harris Pavillion	Milwaukee	WI	United States	23000
6/30/2024	0	Columbus Commons	Columbus	OH	United States	6000
5/6/2024	0	Soul Kitchen Music Hall	Mobile	AL	United States	598
7/15/2024	0	Bank Of New Hampshire Pavilion At Meadowbrook	Gilford	NH	United States	9000
10/21/2024	0	Roxian Theatre	Mckees Rocks	PA	United States	1400
5/22/2024	0	Riverbend Music Center	Cincinnati	OH	United States	20500
5/28/2024	0	Pine Knob Music Theatre	Detroit	MI	United States	15274
5/29/2024	0	Blossom Music Center	Cuyahoga Falls	OH	United States	23000
5/31/2024	0	Xfinity Center	Mansfield	MA	United States	17950
6/1/2024	0	Xfinity Theatre	Hartford	AL	United States	24100
6/2/2024	0	Jiffy Lube Live	Bristow	VA	United States	25262
6/4/2024	0	Veterans United Home Loans Amphitheater At Virginia Beach	Virginia Beach	VA	United States	20000
6/5/2024	0	Ccnb Heritage Park Amphitheatre	Simpsonville	KY	United States	15000
6/6/2024	0	Pnc Music Pavilion	Charlotte	NC	United States	18500
6/13/2024	0	Ithink Financial Amphitheatre	West Palm Beach	FL	United States	25000
6/15/2024	0	Cellairis Amphitheatre At Lakewood	Atlanta	GA	United States	18920
7/4/2024	1	Summerfest Generac Stage	Milwaukee	WI	United States	23000
9/3/2024	0	Sap Center	San Jose	CA	United States	17500
9/4/2024	0	Golden 1 Center	Sacramento	CA	United States	17608
9/9/2024	0	Utep Don Haskins Center	El Paso	TX	United States	14000
10/1/2024	0	Bryce Jordan Center	University Park	PA	United States	15451
10/7/2024	0	Ubs Arena	Elmont	NY	United States	17500
11/17/2024	0	Toyota Center	Houston	TX	United States	18300
11/18/2024	0	American Bank Center	Corpus Christi	TX	United States	10000
11/21/2024	0	Legacy Arena At Bjcc	Birmingham	AL	United States	17500
10/28/2024	0	Piedmont Hall	Greensboro	AL	United States	2300
6/7/2024	0	Tailgate N' Tallboys	Clinton	IA	United States	13000
7/18/2024	0	Rock The South	Cullman	AL	United States	27000
1/18/2024	0	The Blue Note	Columbia	MO	United States	747
1/19/2024	0	District 142	Wyandotte	MI	United States	850
1/20/2024	0	The Intersection	Grand Rapids	MI	United States	1000
1/21/2024	0	Bluebird Nightclub	Bloomington	IN	United States	550
1/26/2024	0	The Hall	Little Rock	AR	United States	1000
1/27/2024	0	Mars Music Hall	Huntsville	AL	United States	1000
2/1/2024	0	Knitting Factory	Boise	ID	United States	719
2/2/2024	0	The Union Event Center	Salt Lake City	UT	United States	3500
2/3/2024	0	Ogden Theatre	Denver	CO	United States	1600
2/4/2024	0	Templelive Wichita	Wichita	KS	United States	1200
2/10/2024	0	Mercury Ballroom	Louisville	KY	United States	900
6/8/2024	0	Birmingham-Jefferson Convention Complex	Birmingham	AL	United States	19000
12/6/2024	0	Coyote Joe'S	Charlotte	NC	United States	4000
11/28/2024	1	At&T Stadium	Arlington	GA	United States	80000
8/22/2024	0	Findlay Toyota Center	Prescott Valley	AZ	United States	6200
6/28/2024	0	Hartford Healthcare Amphitheater	Bridgeport	CT	United States	10000
6/29/2024	0	Maine Savings Amphitheater	Bangor	ME	United States	11448
4/28/2024	0	Merlefest	Wilkesboro	NC	United States	60000
2/21/2024	0	Mcmenamin'S Crystal Ballroom	Portland	OR	United States	1200
3/6/2024	0	The Bellwether	Los Angeles	CA	United States	893
2/17/2024	2	Senator Theatre	Chico	CA	United States	1000
2/18/2024	2	Mcdonald Theater	Eugene	OR	United States	1000
2/16/2024	2	Thunder Valley Casino	Lincoln	CA	United States	4200
2/20/2024	0	Showbox At The Market	Seattle	WA	United States	1200
2/13/2024	0	August Hall	San Francisco	CA	United States	951
2/15/2024	0	Neptune Theatre	Seattle	WA	United States	1200
2/19/2024	1	The Union Event Center	Salt Lake City	UT	United States	3500
2/26/2024	0	Deluxe At Old National Centre	Indianapolis	IN	United States	659
5/20/2024	0	Wooly'S	Des Moines	IA	United States	700
5/27/2024	1	Punk Rock Bowling	Las Vegas	NV	United States	6800
5/30/2024	0	Hammerstein Ballrom	New York City	NY	United States	3038
9/8/2024	0	Starland Ballroom	Sayreville	NJ	United States	2500
11/11/2024	1	Warfield Theatre	San Francisco	CA	United States	2361
8/15/2024	0	Rock The Ruins	Indianapolis	IN	United States	2500
6/10/2024	0	The Parkway Theater	Minneapolis	MN	United States	900
8/5/2024	0	Isleta Amphitheater	Albuquerque	NM	United States	15000
8/12/2024	0	White River Amphitheatre	Auburn	WA	United States	16000
6/3/2024	0	Mcgrath Amphitheatre	Cedar Rapids	IA	United States	2250
6/11/2024	0	Steelhouse Omaha	Omaha	NE	United States	3000
6/18/2024	0	Powder Ridge Mountain Park & Resort	Middlefield	CT	United States	2080
6/25/2024	0	Hampton Beach Ballroom Casino	Hampton	AR	United States	1516
12/28/2024	0	The United Theater On Broadway	Los Angeles	CA	United States	3200
12/31/2024	0	Hollywood Palladium	Los Angeles	CA	United States	5000
5/13/2024	0	Brooklyn Bowl Nashville	Nashville	TN	United States	1500
1/5/2024	0	Paramount Theatre	Seattle	WA	United States	3040
1/6/2024	0	Davies Symphony Hall	San Francisco	CA	United States	2743
9/23/2024	0	The Fillmore Miami Beach At The Jackie Gleason Theatre	Miami Beach	FL	United States	2200
7/8/2024	0	Somerset Amphitheater	Somerset	KY	United States	40000
4/15/2024	0	Bjcc Arena	Birmingham	AL	United States	19000
12/30/2024	0	Boulder Theater	Boulder	CO	United States	2400
8/19/2024	0	Dickies Arena	Fort Worth	TX	United States	14000
7/29/2024	0	Pnc Music Pavilion	Charlotte	NC	United States	18500
4/4/2025	0	Mystic Lake Casino	Prior Lake	MN	United States	2100
4/5/2025	0	Hard Rock Casino Rockford	Rockford	IL	United States	2000
4/10/2025	0	Sunrise Theatre	Fort Pierce	FL	United States	1214
4/11/2025	0	The Florida Theatre	Jacksonville	FL	United States	1900
4/13/2025	0	The Baycare Sound	Clearwater	FL	United States	9000
4/25/2025	0	Honeywell Center 	Wabash	IN	United States	1500
4/26/2025	0	The Lerner Theatre	Elkhart	IN	United States	1707
5/3/2025	0	Magic City Casino	Miami	FL	United States	3000
5/4/2025	0	Van Wezel Performing Arts Hall	Sarasota	FL	United States	1736
5/10/2025	0	Mohegan Sun Arena	Uncasville	CT	United States	10000
5/13/2025	0	Stern Auditorium / Perelman Stage at Carnegie Hall	New York`	NY	United States	2804
5/16/2025	0	River City Casino & Hotel	Saint Louis	MO	United States	1114
5/17/2025	0	Ameristar Casino	Kansas City	MO	United States	1332
5/18/2025	0	Paramount Theatre	Denver	CO	United States	1870
5/23/2025	0	Westgate Las Vegas	Las Vegas	NV	United States	3000
6/5/2025	0	Pikes Peak Center	Colorado Springs	CO	United States	2000
6/6/2025	0	Spokane Tribe & Resort	Airway Heights	WA	United States	2000
6/19/2025	1	Alameda County Fairgrounds	Pleasanton	CA	United States	3000
6/20/2025	0	Angel of the Winds Casino Resort	Arlington	WA	United States	1000
5/30/2025	0	OLG Stage at Fallsview Casino Resort	Niagara Falls	ON	Canada	6000
8/29/2025	0	Target Center	Minneapolis	MN	United States	20000
8/30/2025	0	Fiserv Forum	Milwaukee	WI	United States	18000
9/1/2025	1	KeyBank Center	Buffalo	NY	United States	19200
9/10/2025	0	Rocket Arena	Cleveland	OH	United States	19530
9/11/2025	0	CFG Bank Arena	Baltimore	MD	United States	14000
9/13/2025	0	Enterprise Center	Saint Louis	MO	United States	22000
9/15/2025	0	Ball Arena	Denver	CO	United States	20000
9/17/2025	0	T-Mobile Center	Kansas City	MO	United States	18972
8/22/2025	0	Vancouver Rogers Arena	Vancouver	BC	Canada	18000
8/24/2025	0	Rogers Place	Edmonton	AB	Canada	20734
8/25/2025	0	The Scotiabank Saddledome	Calgary	AB	Canada	19289
8/27/2025	0	Canada Life Centre	Winnipeg	MB	Canada	15310
9/3/2025	0	Rogers Stadium	Toronto	ON	Canada	95000
9/7/2025	0	Centre Videotron	Quebec City	QC	Canada	14000
9/8/2025	0	Centre Bell	Montreal	QC	Canada	21273
9/5/2025	0	Pompano Beach Amphitheatre	Pompano Beach	FL	United States	3211
9/6/2025	0	Jannus Live	Saint Petersburg	FL	United States	1950
9/12/2025	0	Agora Theatre	Cleveland	OH	United States	2000
9/16/2025	0	Franklin Music Hall	Philadelphia	PA	United States	2700
9/18/2025	0	Roadrunner	Boston	MA	United States	3500
9/20/2025	0	Brooklyn Paramount	Brooklyn	NY	United States	2750
9/21/2025	0	College Street Music Hall	New Haven	CT	United States	2183
9/23/2025	0	Stage AE Pittsburgh	Pittsburgh	PA	United States	2300
9/26/2025	0	Ohana Festival	Dana Point	CA	United States	22000
9/29/2025	0	Salt Shed	Chicago	IL	United States	3300
9/30/2025	1	MegaCorp Pavilion	Newport	KY	United States	2550
10/1/2025	0	Kemba Live	Columbus	OH	United States	2200
10/3/2025	0	The Sylvee	Madison	WI	United States	2400
10/4/2025	0	First Avenue	Minneapolis	MN	United States	1550
10/6/2025	0	Midland Theatre	Kansas City	MO	United States	2587
10/7/2025	0	The Factory in Deep Ellum	Dallas	TX	United States	4300
10/8/2025	0	ACL Live at the Moody Theatre	Austin	TX	United States	2576
10/10/2025	0	The Criterion	Oklahoma City	OK	United States	2606
10/12/2025	0	The Mission Ballroom	Denver	CO	United States	3650
10/15/2025	0	Paramount Theatre	Seattle	WA	United States	2735
10/17/2025	0	Knitting Factory	Boise	ID	United States	2606
10/18/2025	0	The Knitting Factory	Spokane	WA	United States	1427
10/21/2025	0	McMenamins Crystal Ballroom	Portland	OR	United States	1460
10/23/2025	0	Mountain Winery	Saratoga	CA	United States	2500
10/24/2025	0	Warfield Theatre	San Francisco	CA	United States	2454
10/26/2025	0	Silver Legacy Resort Casino Reno	Reno	NV	United States	1456
9/24/2025	0	HISTORY	Toronto	ON	Canada	2287
10/20/2025	0	Orpheum Theatre	Vancouver	BC	Canada	2515
